DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
688,4370,139.95601732278922,104108.64462850895,4370.0,1388.115261713453,LAMBAYEQUE,4370.0,446.17990555075266,LAMBAYEQUE,9.918224941425397,3.1880008740295915,0.0
689,4370,9.586633790644239,9471.121165448621,4370.0,126.28161553931497,LAMBAYEQUE,4370.0,40.5905192804941,LAMBAYEQUE,13.172675445530773,4.2340742503491775,0.0
691,25383,75.67456250319508,48195.10707862066,753.0,627.4369995884553,JUNIN,753.0,199.29135889777342,JUNIN,8.291253742787928,2.633531695533213,1.0
692,8653,39.65477958900503,30275.777170133042,8653.0,403.67702893510744,JUNIN,8653.0,129.75333072914157,JUNIN,10.179782440324894,3.272072927247285,0.0
693,8024,0.4499215408702244,187.46730869592685,8024.0,2.499564115945691,JUNIN,8024.0,0.8034313229825436,JUNIN,5.555555555555555,1.7857142857142858,0.0
694,8653,56.69408340288312,40139.239631078744,8653.0,535.1898617477168,JUNIN,8653.0,172.02531270462316,JUNIN,9.439959685819707,3.0342727561563323,0.0
697,8475,111.91084340040163,77149.86763180998,8475.0,1025.4329073045897,JUNIN,8475.0,326.1676007827984,JUNIN,9.162945038629827,2.914530807491241,0.0
698,1,27.794667097808702,22974.085447123856,1.0,306.3211392949848,LORETO,1.0,98.46036620195936,LORETO,11.020860160585798,3.5424193373311477,0.0
699,25383,75.83020073621552,48364.80361331974,753.0,629.6996200511096,JUNIN,753.0,200.01862976076944,JUNIN,8.304074286201557,2.637717265928892,1.0
700,8656,39.086268262639805,31311.0986089955,8656.0,419.01767701331823,JUNIN,8656.0,134.1904226099807,JUNIN,10.720329559162133,3.433185836731443,0.0
701,340,63.24873294117117,67357.35779577996,340.0,898.0981039437327,JUNIN,340.0,288.6743905533427,JUNIN,14.19946396047286,4.564113415866277,0.0
704,17589,1.4330418486200258,597.100770258344,17589.0,8.715005079908462,LAMBAYEQUE,17589.0,2.559003301107188,LAMBAYEQUE,6.081472839261978,1.7857142857142851,0.0
706,519,81.9686207910939,47330.78656361036,519.0,631.0771541814711,JUNIN,519.0,202.84622812975863,JUNIN,7.699009060916629,2.47468148386606,0.0
