DEMAND_ID,UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,POBLACION_CP,ES_URBANO,time_min_car,ALCANZABLE
3847,120302,PERENE,CHANCHAMAYO,JUNIN,902.7325581395348,False,47.068744878647294,True
3848,120121,HUAYUCACHI,HUANCAYO,JUNIN,2166.25,False,5.68407784072849,True
3849,120305,SAN RAMON,CHANCHAMAYO,JUNIN,746.7567567567568,False,21.058300853791216,True
3850,160305,URARINAS,LORETO,LORETO,293.6538461538462,False,,False
3851,140308,OLMOS,LAMBAYEQUE,LAMBAYEQUE,437.7578947368421,False,132.55629183779507,True
3852,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,88.28895810359958,True
3853,160206,LAGUNAS,ALTO AMAZONAS,LORETO,520.8571428571429,False,,False
3854,160106,MAZAN,MAYNAS,LORETO,379.9189189189189,False,,False
3855,120606,PANGOA,SATIPO,JUNIN,618.2346938775511,False,11.003453460839923,True
3856,120302,PERENE,CHANCHAMAYO,JUNIN,902.7325581395348,False,32.66397950164856,True
3857,120601,SATIPO,SATIPO,JUNIN,650.0597014925373,False,2.3672803478271547,True
3858,140203,INCAHUASI,FERREÑAFE,LAMBAYEQUE,302.5576923076923,False,186.72387908182793,True
3859,140305,MOCHUMI,LAMBAYEQUE,LAMBAYEQUE,778.68,False,22.494534473641803,True
3860,120608,RIO TAMBO,SATIPO,JUNIN,729.2738095238095,False,64.92908087289965,True
3861,140205,PITIPO,FERREÑAFE,LAMBAYEQUE,691.8285714285714,False,50.66760037398452,True
3862,160403,YAVARI,MARISCAL RAMON CASTILLA,LORETO,362.55555555555554,False,,False
3863,140202,CAÑARIS,FERREÑAFE,LAMBAYEQUE,528.1071428571429,False,210.9996682155314,True
3864,120107,CHILCA,HUANCAYO,JUNIN,9777.0,False,3.668342102064972,True
3865,120601,SATIPO,SATIPO,JUNIN,650.0597014925373,False,25.650869201996947,True
3866,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,34.82639453296512,True
3867,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,34.724275734433654,True
3868,140305,MOCHUMI,LAMBAYEQUE,LAMBAYEQUE,778.68,False,18.701257675933274,True
3869,140116,CAYALTI,CHICLAYO,LAMBAYEQUE,1224.2307692307693,False,53.78422413169424,True
3870,120108,CHONGOS ALTO,HUANCAYO,JUNIN,33.475,False,131.3419820292032,True
3871,160201,YURIMAGUAS,ALTO AMAZONAS,LORETO,1234.1166666666666,False,21.968823837733066,True
